source,suite,method,lr,count,errors,tre_mean_mm,tre_median_mm,min_singular_value,max_singular_value,nonpositive_determinants,tre_mean_mm_improved_over_rigid,tre_mean_mm_worst_signed_change,seconds,loss_value,mean_evaluations,restored_levels,dice,dice_improved_over_rigid,dice_worst_signed_change
synthetic,synthetic_2d,rigid,,8,0,3.1653362728585335,3.0033641908562547,0.9999999874259887,1.0000000283975423,0,0,-0.0,,,,,,,
synthetic,synthetic_2d,adam,0.003,8,0,0.008607662968201433,0.008199648556648866,0.8291547894477844,1.2053632736206055,0,8,1.2900576490095115,0.46257083435193636,4.0092199640184845e-06,,,,,
synthetic,synthetic_2d,lbfgs,0.3,8,0,0.008750211203000619,0.00827377138395394,0.8291512131690979,1.2053780555725098,0,8,1.2898307876117456,0.1454394392494578,4.00917902254605e-06,89.375,0,,,
synthetic,synthetic_2d,lbfgs,1.0,8,0,0.008528993122212364,0.008175266838121444,0.8291448354721069,1.2053905725479126,0,8,1.290038357263642,0.06708123636781238,4.008938546462559e-06,46.375,0,,,
synthetic,synthetic_2d,lbfgs,3.0,8,0,0.008559454884652169,0.008216282364972434,0.8291499614715576,1.205389380455017,0,8,1.2899992709364603,0.07919323034002446,4.008961468571215e-06,56.5,0,,,
synthetic,synthetic_3d,rigid,,8,0,3.8419397192306093,3.5726686081059618,0.9999999638298569,1.000000037074995,0,0,-0.0,,,,,,,
synthetic,synthetic_3d,adam,0.003,8,0,0.02708707753697511,0.024745186021201265,0.7887387871742249,1.2954299449920654,0,8,2.2359115989923075,0.3491952378535643,2.3780640390214103e-06,,,,,
synthetic,synthetic_3d,lbfgs,0.3,8,0,0.02707390179266307,0.024553824493441553,0.7886437177658081,1.295467495918274,0,8,2.2354581174671675,0.1267764737131074,2.378230007593629e-06,77.0,0,,,
synthetic,synthetic_3d,lbfgs,1.0,8,0,0.026839721637972193,0.024635772975074695,0.7886642813682556,1.2954703569412231,0,8,2.234999423102605,0.07506484497571364,2.3778721214284815e-06,50.625,0,,,
synthetic,synthetic_3d,lbfgs,3.0,8,0,0.026760211926016547,0.024469133802008096,0.7886894941329956,1.2954485416412354,0,8,2.2353897532096885,0.07726795371854678,2.3777179691819583e-06,55.75,0,,,
synthetic,synthetic_2d,niftyreg,,8,0,0.3917543600533618,0.37620367500838814,0.8302802883149624,1.2104403296773432,0,8,0.7795721320567509,0.5632314293761738,,,,,,
synthetic,synthetic_3d,niftyreg,,8,0,0.5001657822660227,0.4667787189406276,0.7854734880905491,1.277584668771451,0,8,1.8933379270191928,0.6805681045516394,,,,,,
brains,brains,rigid,,3,0,5.529522062002478,2.9623733571075075,0.9999999753544928,1.0000000156516955,0,0,-0.0,,,,,0.9475175861743285,0,0.0
brains,brains,adam,0.003,3,0,5.367987035490684,2.8704129645672647,0.9694538116455078,1.1672418117523193,0,2,0.1538965828893586,2.9741780220065266,-0.2376427948474884,,,0.9608213526675226,3,0.003783682151672685
brains,brains,lbfgs,0.3,3,0,5.36807549739488,2.8700073769460923,0.969494104385376,1.163590431213379,0,2,0.15406931326686424,1.0594233962862443,-0.23763960848251978,99.33333333333333,0,0.9609642036335985,3,0.0037750798101717775
brains,brains,lbfgs,1.0,3,0,5.367766227757834,2.8700790378579297,0.9694405198097229,1.163367748260498,0,2,0.15435069832860648,0.8588796196660647,-0.23763936261336008,77.66666666666667,0,0.9609683257836906,3,0.003790803355515737
brains,brains,lbfgs,3.0,3,0,5.368276589722329,2.870364825723195,0.9694582223892212,1.1633297204971313,0,2,0.15378987136731492,1.1931967413208138,-0.23763935764630637,121.66666666666667,0,0.960964038731293,3,0.0037852791616020953
brains,brains,niftyreg,,3,0,5.35695264387787,2.904560048728959,0.9625557758095828,1.1409039123710603,0,2,0.06500188112718419,2.521868562713886,,,,0.96116190490534,3,0.004734573706955625
abdomens,abdomens,rigid,,8,0,,,0.9999999718286163,1.0000000295335134,0,,,,,,,0.6035736590637227,0,0.0
abdomens,abdomens,adam,0.003,8,0,,,0.7428957223892212,1.3332632780075073,0,,,7.224286666285479,-1.3802444636821747,,,0.7568840427473185,8,0.05369511228459822
abdomens,abdomens,lbfgs,0.3,8,0,,,0.7429403066635132,1.3326997756958008,0,,,3.6554429448151495,-1.3802432119846344,143.75,0,0.7552490481815995,8,0.05539404137301218
abdomens,abdomens,lbfgs,1.0,8,0,,,0.7428901791572571,1.3326847553253174,0,,,3.2085955215152353,-1.3798530548810959,119.5,0,0.7563692756178224,8,0.05557329364146979
abdomens,abdomens,lbfgs,3.0,8,0,,,0.00014480100071523339,1.3326970338821411,0,,,5.423622711445205,-2.178224042057991,212.0,0,0.6634166629884006,7,-0.6795801497016862
abdomens,abdomens,niftyreg,,8,0,,,0.7599095002466818,1.3223366555534202,0,,,1.9025048792536836,,,,0.7692793034460523,8,0.05557297798709848
